name_muni,Name,Population,Medium_Salary,PIB_per_capita,Mesoregion,Microregion,GINI ,Area,Urban_Area,Demographic_Density
Pequeri,"""Pequeri""",3351 ,1.5,15236.95,Zona da Mata,Juiz de Fora,0.694,90.833 ,1.43 ,36.89 
Pequi,"""Pequi""",4155 ,1.9,17572.44,Metropolitana de Belo Horizonte,Sete Lagoas,0.674,203.991 ,1.31 ,20.37 
Perdigão,"""Perdigão""",12268 ,1.6,18298.82,Oeste de Minas,Divinópolis,0.703,249.322 ,3.66 ,49.21 
Perdizes,"""Perdizes""",17151 ,2,78049.11,Triângulo Mineiro/Alto Paranaíba,Araxá,0.723,2451.112 ,3.51 ,7.00 
Perdões,"""Perdões""",21384 ,1.8,26988.11,Oeste de Minas,Campo Belo,0.744,270.657 ,4.98 ,79.01 
Periquito,"""Periquito""",6553 ,1.4,14685.51,Vale do Rio Doce,Ipatinga,0.651,228.907 ,2.02 ,28.63 
Pescador,"""Pescador""",3570 ,1.6,10310.37,Vale do Rio Doce,Governador Valadares,0.656,317.463 ,0.86 ,11.25 
Piau,"""Piau""",2796 ,1.7,26050.26,Zona da Mata,Juiz de Fora,0.629,192.196 ,0.62 ,14.55 
Piedade De Caratinga,"""Piedade De Caratinga""",8529 ,1.8,13049.3,Vale do Rio Doce,Caratinga,0.612,109.345 ,1.78 ,78.00 
Piedade De Ponte Nova,"""Piedade De Ponte Nova""",3976 ,1.6,14328.57,Zona da Mata,Ponte Nova,0.639,83.733 ,0.71 ,47.48 
Piedade Do Rio Grande,"""Piedade Do Rio Grande""",4604 ,1.6,20538.49,Campo das Vertentes,São João Del Rei,0.678,322.814 ,1.72 ,14.26 
Piedade Dos Gerais,"""Piedade Dos Gerais""",5019 ,1.6,16263.78,Metropolitana de Belo Horizonte,Itaguara,0.626,259.638 ,0.84 ,19.33 
Pimenta,"""Pimenta""",8563 ,1.9,26462.29,Oeste de Minas,Formiga,0.686,414.969 ,2.91 ,20.64 
Pingo-D'água,"""Pingo-D'água""",4706 ,1.2,9274.61,Vale do Rio Doce,Caratinga,0.619,66.570 ,1.09 ,70.69 
Pintópolis,"""Pintópolis""",7084 ,1.6,8638.39,Norte de Minas,Januária,0.594,1228.736 ,1.35 ,5.77 
Piracema,"""Piracema""",6700 ,1.8,38941.9,Oeste de Minas,Oliveira,0.646,280.335 ,2.44 ,23.90 
Pirajuba,"""Pirajuba""",5537 ,3.2,63887.49,Triângulo Mineiro/Alto Paranaíba,Frutal,0.723,337.980 ,1.70 ,16.38 
Piranga,"""Piranga""",17018 ,1.7,10746.39,Zona da Mata,Viçosa,0.6,658.812 ,2.51 ,25.83 
Piranguçu,"""Piranguçu""",6041 ,1.9,12826.39,Sul/Sudoeste de Minas,Itajubá,0.685,203.619 ,2.27 ,29.67 
Piranguinho,"""Piranguinho""",9120 ,1.6,14552.24,Sul/Sudoeste de Minas,Itajubá,0.717,124.803 ,3.06 ,73.08 
Pirapetinga,"""Pirapetinga""",11077 ,2,49191.65,Zona da Mata,Cataguases,0.709,190.681 ,2.31 ,58.09 
Pirapora,"""Pirapora""",55606 ,1.9,40008.12,Norte de Minas,Pirapora,0.731,549.514 ,19.98 ,101.19 
Piraúba,"""Piraúba""",11610 ,1.4,17212.09,Zona da Mata,Ubá,0.684,144.289 ,2.32 ,80.46 
Pitangui,"""Pitangui""",26685 ,1.7,20654.96,Metropolitana de Belo Horizonte,Pará de Minas,0.725,569.636 ,5.68 ,46.85 
Piumhi,"""Piumhi""",36062 ,1.7,29994.43,Oeste de Minas,Piuí,0.737,902.468 ,8.68 ,39.96 
